Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins,Source
3,1,0.01,0,0.01,3,3,1,2,1,1
0,0,0.255,0.071,0.326,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.012,0,0.012,3,3,1,2,1,1
0,0,0.334,0.016,0.35,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.009,0,0.009,3,3,1,2,1,1
0,0,0.343,0.032,0.375,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.011,0,0.011,3,3,1,2,1,1
0,0,0.22,0.009,0.229,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.009,0,0.009,3,3,1,2,1,1
0,0,0.194,0.049,0.244,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.007,0,0.007,3,3,1,2,1,1
0,0,0.175,0.038,0.214,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.006,0,0.006,3,3,1,2,1,1
0,0,0.242,0.025,0.267,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.011,0,0.011,3,3,1,2,1,1
0,0,0.418,0.029,0.447,3,3,1,4,1,1
1,0,0.002,0,0.002,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.029,0,0.029,4,3,1,4,1,1
0,0,0.327,0.027,0.354,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.03,0,0.03,3,3,1,3,1,1
0,0,0.332,0.025,0.357,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.009,0,0.009,3,3,1,2,1,1
0,0,0.294,0.021,0.315,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.297,0,0.297,4,3,1,5,1,1
0,0,0.337,0.057,0.393,3,3,1,3,1,1
1,0,0.001,0.001,0.002,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.011,0,0.011,3,3,1,2,1,1
0,0,0.225,0.036,0.261,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.008,0,0.008,3,3,1,2,1,1
0,0,0.292,0.037,0.329,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.009,0,0.009,3,3,1,2,1,1
0,0,0.314,0.015,0.328,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.011,0,0.011,3,3,1,2,1,1
0,0,0.177,0.064,0.241,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.011,0,0.011,3,3,1,2,1,1
0,0,0.231,0.046,0.277,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.008,0,0.008,3,3,1,2,1,1
0,0,0.332,0.009,0.341,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.009,0,0.009,3,3,1,2,1,1
0,0,0.198,0.125,0.323,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.017,0,0.017,3,3,1,3,1,1
0,0,0.284,0.009,0.293,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.011,0,0.011,3,3,1,2,1,1
0,0,0.24,0.026,0.265,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.012,0,0.012,3,3,1,2,1,1
0,0,0.348,0.038,0.385,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.01,0,0.01,3,3,1,2,1,1
0,0,0.297,0.016,0.313,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.01,0,0.01,3,3,1,2,1,1
0,0,0.18,0.061,0.241,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.008,0,0.008,3,3,1,2,1,1
0,0,0.179,0.088,0.268,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.009,0,0.009,3,3,1,2,1,1
0,0,0.322,0.014,0.335,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.008,0,0.008,3,3,1,2,1,1
0,0,0.267,0.045,0.312,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.009,0,0.009,3,3,1,2,1,1
0,0,0.044,0.036,0.08,3,3,1,3,1,1
1,0,0.0,0,0.0,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,2,1,1
3,1,0.008,0,0.008,2,3,1,1,1,1
0,0,0.099,0.043,0.142,3,3,1,3,1,1
1,0,0.0,0,0.0,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.007,0,0.007,2,3,1,2,1,1
0,0,0.127,0.007,0.134,3,3,1,3,1,1
1,0,0.0,0,0.0,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.004,0,0.004,3,3,1,2,1,1
0,0,0.059,0.028,0.088,3,3,1,3,1,1
1,0,0.0,0,0.0,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,2,1,1
0,0,0.049,0.05,0.099,3,3,1,3,1,1
1,0,0.0,0,0.0,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.002,0,0.002,3,3,1,2,1,1
0,0,0.102,0.025,0.127,3,3,1,3,1,1
1,0,0.0,0,0.0,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.004,0,0.004,3,3,1,2,1,1
0,0,0.1,0.043,0.143,3,3,1,3,1,1
1,0,0.0,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,3,1,1
0,0,0.113,0.066,0.179,3,3,1,3,1,1
1,0,0.0,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,2,3,1,2,1,1
3,1,0.082,0,0.082,2,3,1,1,1,1
0,0,0.082,0.098,0.181,3,3,1,3,1,1
1,0,0.0,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.013,0,0.013,2,3,1,1,1,1
0,0,0.183,0.027,0.21,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.009,0,0.009,3,3,1,2,1,1
0,0,0.064,0.034,0.098,3,3,1,3,1,1
1,0,0.0,0,0.0,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,2,1,1
0,0,0.045,0.068,0.113,3,3,1,3,1,1
1,0,0.0,0.001,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.002,0,0.002,3,3,1,2,1,1
0,0,0.091,0.097,0.188,3,3,1,3,1,1
1,0,0.0,0.001,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.004,0,0.004,3,3,1,2,1,1
0,0,0.108,0.078,0.185,3,3,1,3,1,1
1,0,0.0,0.001,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.004,0,0.004,3,3,1,2,1,1
0,0,0.044,0.106,0.15,3,3,1,3,1,1
1,0,0.0,0.001,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.002,0,0.002,3,3,1,2,1,1
0,0,0.102,0.045,0.147,3,3,1,3,1,1
1,0,0.0,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,3,1,1
0,0,0.076,0.05,0.126,3,3,1,3,1,1
1,0,0.0,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.002,0,0.002,3,3,1,2,1,1
0,0,0.112,0.072,0.184,3,3,1,3,1,1
1,0,0.0,0.001,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.004,0,0.004,3,3,1,2,1,1
0,0,0.066,0.045,0.11,3,3,1,3,1,1
1,0,0.0,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.002,0,0.002,3,3,1,2,1,1
0,0,0.105,0.101,0.207,3,3,1,3,1,1
1,0,0.0,0.001,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.002,0,0.002,3,3,1,2,1,1
0,0,0.348,0.042,0.39,3,3,1,4,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.01,0,0.01,3,3,1,2,1,1
0,0,0.294,0.033,0.328,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.018,0,0.018,3,3,1,3,1,1
0,0,0.271,0.048,0.318,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.008,0,0.008,3,3,1,2,1,1
0,0,0.36,0.007,0.366,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.013,0,0.013,3,3,1,2,1,1
0,0,0.267,0.036,0.303,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.088,0,0.088,4,3,1,5,1,1
0,0,0.392,0,0.392,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.01,0,0.01,3,3,1,2,1,1
0,0,0.3,0.033,0.333,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.008,0,0.008,3,3,1,2,1,1
0,0,0.33,0.043,0.373,3,3,1,3,1,1
1,0,0.001,0,0.002,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.009,0,0.009,3,3,1,2,1,1
0,0,0.265,0.029,0.294,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.012,0,0.012,3,3,1,2,1,1
0,0,0.303,0.019,0.322,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.014,0,0.014,3,3,1,2,1,1
0,0,0.188,0.025,0.213,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.007,0,0.007,3,3,1,2,1,1
0,0,0.482,0.024,0.506,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.029,0,0.029,4,3,1,1,1,1
0,0,0.347,0.022,0.369,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.018,0,0.018,4,3,1,2,1,1
0,0,0.43,0.033,0.464,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.021,0,0.021,3,3,1,1,1,1
0,0,0.34,0.026,0.366,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.012,0,0.012,3,3,1,2,1,1
0,0,0.379,0.074,0.453,3,3,1,3,1,1
1,0,0.002,0,0.003,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.005,0,0.005,3,3,1,3,1,1
0,0,0.2,0.033,0.232,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.01,0,0.01,3,3,1,2,1,1
0,0,0.261,0.062,0.323,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.021,0,0.021,4,3,1,4,1,1
0,0,0.313,0.035,0.348,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.022,0,0.022,4,3,1,4,1,1
0,0,0.325,0.017,0.342,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.033,0,0.033,4,3,1,4,1,1
0,0,0.301,0.026,0.327,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.014,0,0.014,3,3,1,3,1,1
0,0,0.304,0.058,0.362,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.051,0,0.051,3,3,1,4,1,1
0,0,0.269,0.021,0.29,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.029,0,0.029,4,3,1,4,1,1
0,0,0.44,0.015,0.455,3,3,1,3,1,1
1,0,0.002,0,0.002,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.045,0,0.045,3,3,1,4,1,1
0,0,0.352,0.039,0.391,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.018,0,0.018,3,3,1,2,1,1
0,0,0.331,0.016,0.347,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.017,0,0.017,3,3,1,1,1,1
0,0,0.421,0.032,0.452,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.018,0,0.018,3,3,1,2,1,1
0,0,0.317,0.043,0.359,3,3,1,3,1,1
1,0,0.002,0,0.002,4,3,1,1,1,1
2,0,0.0,0,0.0,4,3,1,3,1,1
3,1,0.022,0,0.022,4,3,1,4,1,1
0,0,0.611,0.035,0.646,3,3,1,3,1,1
1,0,0.002,0,0.002,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.015,0,0.015,3,3,1,2,1,1
0,0,0.428,0.026,0.454,3,3,1,3,1,1
1,0,0.001,0,0.002,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.019,0,0.019,3,3,1,3,1,1
0,0,0.386,0.049,0.435,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.014,0,0.014,3,3,1,2,1,1
0,0,0.11,0.074,0.185,3,3,1,3,1,1
1,0,0.0,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.006,0,0.006,3,3,1,2,1,1
0,0,0.092,0.051,0.143,3,3,1,3,1,1
1,0,0.0,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,2,1,1
0,0,0.146,0.098,0.244,3,3,1,3,1,1
1,0,0.0,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.01,0,0.01,2,3,1,2,1,1
0,0,0.135,0.047,0.182,3,3,1,3,1,1
1,0,0.0,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.006,0,0.006,3,3,1,2,1,1
0,0,0.149,0.037,0.186,3,3,1,4,1,1
1,0,0.0,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,2,1,1
0,0,0.369,0.026,0.395,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.01,0,0.01,3,3,1,2,1,1
0,0,0.225,0.026,0.251,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.008,0,0.008,3,3,1,2,1,1
0,0,0.299,0.009,0.308,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.01,0,0.01,3,3,1,2,1,1
0,0,0.306,0.014,0.319,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.018,0,0.018,2,3,1,1,1,1
0,0,0.349,0.033,0.381,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.02,0,0.02,3,3,1,1,1,1
0,0,0.374,0.022,0.397,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.013,0,0.013,3,3,1,2,1,1
0,0,0.279,0.036,0.315,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.006,0,0.006,3,3,1,3,1,1
0,0,0.291,0.069,0.36,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,4,3,1,3,1,1
3,1,0.042,0,0.042,4,3,1,4,1,1
0,0,0.371,0.014,0.385,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.01,0,0.01,3,3,1,4,1,1
0,0,0.413,0.014,0.427,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.019,0,0.019,3,3,1,3,1,1
0,0,0.487,0.025,0.511,3,3,1,3,1,1
1,0,0.002,0,0.002,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.039,0,0.039,3,3,1,2,1,1
0,0,0.51,0.017,0.527,3,3,1,3,1,1
1,0,0.002,0,0.002,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.015,0,0.015,3,3,1,2,1,1
0,0,0.342,0.033,0.375,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.013,0,0.013,3,3,1,3,1,1
0,0,0.329,0.02,0.349,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,4,3,1,3,1,1
3,1,0.056,0,0.056,4,3,1,5,1,1
0,0,0.177,0.015,0.192,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.004,0,0.004,3,3,1,3,1,1
0,0,0.168,0.042,0.211,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.005,0,0.005,3,3,1,3,1,1
0,0,0.251,0.023,0.274,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.017,0,0.017,4,3,1,1,1,1
0,0,0.138,0.031,0.169,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,3,1,1
0,0,0.153,0.031,0.184,3,3,1,3,1,1
1,0,0.0,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.008,0,0.008,4,3,1,1,1,1
0,0,0.22,0.078,0.298,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.021,0,0.021,4,3,1,1,1,1
0,0,0.319,0.015,0.334,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.009,0,0.009,3,3,1,2,1,1
0,0,0.26,0.008,0.268,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.006,0,0.006,3,3,1,3,1,1
0,0,0.314,0.037,0.352,3,3,1,4,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.007,0,0.007,3,3,1,2,1,1
0,0,0.352,0.013,0.365,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.011,0,0.011,3,3,1,3,1,1
0,0,0.26,0.037,0.297,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,4,3,1,3,1,1
3,1,0.007,0,0.007,3,3,1,2,1,1
0,0,0.0,0,0.0,4,3,1,5,1,1
1,0,0.0,0,0.0,4,3,1,5,1,1
2,0,0.0,0,0.0,4,3,1,5,1,1
3,1,0.0,0,0.0,4,3,1,5,1,1
0,0,0.179,0,0.179,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.004,0,0.004,3,3,1,4,1,1
0,0,0.122,0,0.122,3,3,1,3,1,1
1,0,0.0,0,0.0,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,3,1,1
0,0,0.156,0,0.156,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,4,1,1
0,0,0.152,0,0.152,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.004,0,0.004,4,3,1,4,1,1
0,0,0.202,0,0.202,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.004,0,0.004,3,3,1,4,1,1
0,0,0.17,0,0.17,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,4,1,1
0,0,0.229,0,0.229,3,3,1,3,1,1
1,0,0.001,0,0.001,4,3,1,1,1,1
2,0,0.0,0,0.0,4,3,1,3,1,1
3,1,0.005,0,0.005,4,3,1,4,1,1
0,0,0.074,0,0.074,3,3,1,3,1,1
1,0,0.0,0,0.0,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.002,0,0.002,4,3,1,4,1,1
0,0,0.186,0,0.186,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,4,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,4,1,1
0,0,0.067,0,0.067,3,3,1,3,1,1
1,0,0.0,0,0.0,3,3,1,1,1,1
2,0,0.0,0,0.0,4,3,1,3,1,1
3,1,0.001,0,0.001,3,3,1,4,1,1
0,0,0.159,0,0.159,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.002,0,0.002,3,3,1,3,1,1
0,0,0.19,0,0.19,2,3,1,2,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.002,0,0.002,3,3,1,4,1,1
0,0,0.358,0,0.358,2,3,1,2,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,4,3,1,4,1,1
3,1,0.004,0,0.004,3,3,1,4,1,1
0,0,0.198,0,0.198,2,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,4,1,1
0,0,0.375,0,0.375,2,3,1,2,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.005,0,0.005,3,3,1,4,1,1
0,0,0.256,0,0.256,3,3,1,3,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.004,0,0.004,4,3,1,4,1,1
0,0,0.249,0,0.249,2,3,1,2,1,1
1,0,0.001,0,0.001,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,3,3,1,4,1,1
0,0,0.124,0,0.124,3,3,1,3,1,1
1,0,0.0,0,0.0,3,3,1,1,1,1
2,0,0.0,0,0.0,3,3,1,3,1,1
3,1,0.003,0,0.003,4,3,1,4,1,1
0,0,0.882,0,0.882,4,3,1,2,1,1
1,0,0.004,0,0.004,4,3,1,1,1,1
2,0,0.0,0,0.0,4,3,1,4,1,1
3,1,0.003,0,0.003,3,3,1,3,1,1
0,0,0.672,0,0.672,4,3,1,4,1,1
1,0,0.002,0,0.002,4,3,1,1,1,1
2,0,0.0,0,0.0,4,3,1,4,1,1
3,1,0.004,0,0.004,4,3,1,4,1,1
0,0,0.842,0,0.842,4,3,1,2,1,1
1,0,0.004,0,0.004,4,3,1,1,1,1
2,0,0.0,0,0.0,4,3,1,4,1,1
3,1,0.035,0,0.035,4,3,1,5,1,1
0,0,1.468,0,1.468,4,3,1,4,1,1
1,0,0.004,0,0.004,4,3,1,1,1,1
